window_id,packet_count,byte_count,mean_pkt_size,syn_count,synack_count,fin_count,rst_count,ack_count,psh_count,icmp_count,udp_count,unique_src,unique_dst_ports,new_connections,syn_to_synack_ratio,iat_mean,iat_std,attack_type,is_attack
0,10,2950,295.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
1,9,1587,176.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
3,8,1062,132.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
4,19,3530,185.79,2,2,4,0,17,7,0,0,2,3,2,1.0,0.0465,0.1764,BENIGN,0
6,10,2340,234.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
7,8,904,113.0,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
8,9,1623,180.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
10,10,1842,184.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
11,20,4925,246.25,2,2,4,0,18,8,0,0,3,3,2,1.0,0.0348,0.1327,BENIGN,0
12,9,1195,132.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
14,10,1354,135.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
15,10,2017,201.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
16,10,2186,218.6,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
17,10,2344,234.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
19,10,1727,172.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
20,10,1175,117.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
21,9,1763,195.89,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
23,10,1944,194.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
24,9,1057,117.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
25,10,2632,263.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
26,10,2595,259.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
27,10,1635,163.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
28,5,533,106.6,1,1,0,0,4,2,0,0,2,2,1,1.0,0.0025,0.0026,BENIGN,0
29,4,204,51.0,0,0,2,0,3,0,1,0,3,2,0,0.0,0.0033,0.0033,BENIGN,0
30,69,13603,197.14,8,8,14,0,61,24,0,0,2,9,8,1.0,0.0054,0.0071,BENIGN,0
31,9,1265,140.56,1,1,2,0,8,3,0,0,3,3,1,1.0,0.1243,0.3182,BENIGN,0
32,4,375,93.75,0,0,2,0,4,1,0,0,2,2,0,0.0,0.006,0.0071,BENIGN,0
33,10,1579,157.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
34,10,1831,183.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
35,8,684,85.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
36,11,1167,106.09,1,1,2,0,9,4,1,0,3,2,1,1.0,0.004,0.0037,BENIGN,0
37,9,1762,195.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
39,9,1796,199.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
40,9,959,106.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
41,9,935,103.89,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
42,10,1814,181.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
43,10,2739,273.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
44,10,1934,193.4,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,BENIGN,0
45,8,937,117.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
46,8,1012,126.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
48,10,2077,207.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
49,10,2935,293.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
50,10,1792,179.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
52,8,1007,125.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
53,8,1187,148.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
54,8,906,113.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
55,9,1074,119.33,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
56,8,1106,138.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
57,10,2829,282.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
58,9,1538,170.89,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
59,11,2908,264.36,1,1,2,0,9,4,1,0,2,2,1,1.0,0.004,0.0037,BENIGN,0
60,9,1245,138.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
61,32,5948,185.88,4,4,6,0,28,11,0,0,2,5,4,1.0,0.0044,0.0057,BENIGN,0
62,32,6440,201.25,3,3,8,0,29,11,0,0,2,5,3,1.0,0.0054,0.0066,BENIGN,0
63,8,1045,130.62,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
64,9,2003,222.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
65,8,1139,142.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
67,10,2497,249.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
68,64,12133,189.58,7,7,14,0,56,21,1,0,3,8,7,1.0,0.0053,0.0083,BENIGN,0
70,8,998,124.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
71,9,1662,184.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
72,10,2719,271.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
73,10,2480,248.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
74,10,1654,165.4,1,1,2,0,8,3,1,0,3,2,1,1.0,0.0044,0.0049,BENIGN,0
76,10,1220,122.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
77,8,619,77.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
78,10,2702,270.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
79,10,2854,285.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
81,8,1236,154.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
82,10,2639,263.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
83,8,687,85.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
84,8,1187,148.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
85,8,1047,130.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
87,8,862,107.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
88,16,1463,91.44,2,2,4,0,14,4,0,0,3,3,2,1.0,0.043,0.144,BENIGN,0
89,9,2008,223.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
90,8,948,118.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
92,8,977,122.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
94,44,7936,180.36,5,5,10,0,39,14,0,0,2,6,5,1.0,0.0206,0.0989,BENIGN,0
