window_id,attack_type,is_attack,packet_count,byte_count,mean_pkt_size,syn_count,synack_count,fin_count,rst_count,ack_count,psh_count,icmp_count,udp_count,unique_src,unique_dst_ports,new_connections,syn_to_synack_ratio,iat_mean,iat_std,rf_pred,rf_score,lr_pred,if_pred,if_score,in_test,snort_detection,risk_raw,risk_score,risk_level,snort_only,ml_only,hybrid
0,BENIGN,0,10,2950,295.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.0055826845140711,0,0,0.1380202743479878,0,0,0.0238,0.0238,LOW,0,0,0
1,BENIGN,0,9,1587,176.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0066027877797628,0,0,0.001,0.001,LOW,0,0,0
3,BENIGN,0,8,1062,132.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0152898783159474,0,0,0.0023,0.0023,LOW,0,0,0
4,BENIGN,0,19,3530,185.79,2,2,4,0,17,7,0,0,2,3,2,1.0,0.0465,0.1764,0,0.0004495484884177,0,0,0.469823558518179,0,0,0.0707,0.0707,LOW,0,0,0
6,BENIGN,0,10,2340,234.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0569987052852598,1,0,0.0092,0.0092,LOW,0,0,0
7,BENIGN,0,8,904,113.0,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0178044527568454,1,0,0.0027,0.0027,LOW,0,0,0
8,BENIGN,0,9,1623,180.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0085178343558554,0,0,0.0013,0.0013,LOW,0,0,0
10,BENIGN,0,10,1842,184.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0337565553230037,1,0,0.0057,0.0057,LOW,0,0,0
11,BENIGN,0,20,4925,246.25,2,2,4,0,18,8,0,0,3,3,2,1.0,0.0348,0.1327,0,0.1175247960272551,0,1,0.6051562885088881,0,0,0.1554,0.1554,LOW,0,0,0
12,BENIGN,0,9,1195,132.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0067273702573048,0,0,0.001,0.001,LOW,0,0,0
14,BENIGN,0,10,1354,135.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0520788281642786,1,0,0.0085,0.0085,LOW,0,0,0
15,BENIGN,0,10,2017,201.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0382266179328341,0,0,0.0064,0.0064,LOW,0,0,0
16,BENIGN,0,10,2186,218.6,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0470859373040886,0,0,0.0077,0.0077,LOW,0,0,0
17,BENIGN,0,10,2344,234.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0569987052852598,0,0,0.0092,0.0092,LOW,0,0,0
19,BENIGN,0,10,1727,172.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0326991102383741,0,0,0.0055,0.0055,LOW,0,0,0
20,BENIGN,0,10,1175,117.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.0010008741258741,0,0,0.0713029442944561,0,0,0.0112,0.0112,LOW,0,0,0
21,BENIGN,0,9,1763,195.89,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0165067647641693,0,0,0.0025,0.0025,LOW,0,0,0
23,BENIGN,0,10,1944,194.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0362521068162202,0,0,0.0061,0.0061,LOW,0,0,0
24,BENIGN,0,9,1057,117.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0163654994889628,0,0,0.0025,0.0025,LOW,0,0,0
25,BENIGN,0,10,2632,263.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0799169020935836,0,0,0.0126,0.0126,LOW,0,0,0
26,BENIGN,0,10,2595,259.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0716236551679179,0,0,0.0114,0.0114,LOW,0,0,0
27,BENIGN,0,10,1635,163.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0306614857521541,0,0,0.0052,0.0052,LOW,0,0,0
